lat,lon,max_temp_C
8.5,73.5,33.08836
8.5,76.5,32.2606
8.5,77.5,34.276608
8.5,78.5,35.032764
9.5,76.5,32.94964
9.5,77.5,33.1501
9.5,78.5,34.799408
9.5,79.5,36.435444
10.5,75.5,31.563276
10.5,76.5,30.4257
10.5,77.5,32.185562
10.5,78.5,36.12734
10.5,79.5,37.007668
11.5,72.5,32.74791
11.5,75.5,31.435629
11.5,76.5,31.434298
11.5,77.5,31.877777
11.5,78.5,38.075935
11.5,79.5,37.13042
12.5,74.5,32.045826
12.5,75.5,32.098347
12.5,76.5,30.46282
12.5,77.5,33.433174
12.5,78.5,37.067364
12.5,79.5,37.553482
12.5,80.5,37.182667
13.5,74.5,32.215347
13.5,75.5,31.983364
13.5,76.5,33.37418
13.5,77.5,34.43077
13.5,78.5,36.689568
13.5,79.5,37.922672
13.5,80.5,38.174862
14.5,74.5,33.076332
14.5,75.5,33.77516
14.5,76.5,34.551216
14.5,77.5,36.983707
14.5,78.5,38.246483
14.5,79.5,37.903927
14.5,80.5,37.387856
15.5,73.5,33.174873
15.5,74.5,33.23367
15.5,75.5,35.271503
15.5,76.5,36.902878
15.5,77.5,38.27704
15.5,78.5,39.341633
15.5,79.5,38.111103
15.5,80.5,36.76271
16.5,73.5,33.778404
16.5,74.5,34.667244
16.5,75.5,36.24051
16.5,76.5,37.951916
16.5,77.5,38.86192
16.5,78.5,39.15936
16.5,79.5,38.267727
16.5,80.5,36.831463
16.5,81.5,36.39325
16.5,82.5,35.71266
17.5,73.5,34.9582
17.5,74.5,36.683987
17.5,75.5,37.37339
17.5,76.5,39.172047
17.5,77.5,39.27839
17.5,78.5,39.078682
17.5,79.5,39.367924
17.5,80.5,37.684204
17.5,81.5,36.13211
17.5,82.5,34.72828
17.5,83.5,34.55376
18.5,72.5,35.103695
18.5,73.5,36.449062
18.5,74.5,37.316467
18.5,75.5,39.097004
18.5,76.5,40.00798
18.5,77.5,39.47679
18.5,78.5,40.071465
18.5,79.5,39.281685
18.5,80.5,38.296818
18.5,81.5,36.3486
18.5,82.5,35.815746
18.5,83.5,35.381523
18.5,84.5,35.39714
19.5,72.5,35.94423
19.5,73.5,37.261784
19.5,74.5,40.393276
19.5,75.5,40.704185
19.5,76.5,40.939453
19.5,77.5,41.601753
19.5,78.5,41.377968
19.5,79.5,40.882874
19.5,80.5,39.505264
19.5,81.5,39.017117
19.5,82.5,36.489258
19.5,83.5,36.70533
19.5,84.5,36.71403
19.5,85.5,34.826115
20.5,70.5,37.32602
20.5,71.5,37.815155
20.5,72.5,38.00238
20.5,73.5,38.064194
20.5,74.5,39.41005
20.5,75.5,41.16098
20.5,76.5,41.858734
20.5,77.5,41.63987
20.5,78.5,41.735237
20.5,79.5,40.970123
20.5,80.5,40.727413
20.5,81.5,39.444603
20.5,82.5,39.702274
20.5,83.5,39.329487
20.5,84.5,37.240417
20.5,85.5,34.83551
20.5,86.5,34.488632
21.5,69.5,37.462273
21.5,70.5,37.49618
21.5,71.5,38.94565
21.5,72.5,39.29609
21.5,73.5,39.277084
21.5,74.5,39.81562
21.5,75.5,41.621784
21.5,76.5,41.987858
21.5,77.5,41.57419
21.5,78.5,40.558792
21.5,79.5,40.37812
21.5,80.5,40.14151
21.5,81.5,39.74048
21.5,82.5,39.812874
21.5,83.5,38.93784
21.5,84.5,37.27778
21.5,85.5,35.88821
21.5,86.5,33.73298
21.5,87.5,32.846786
21.5,88.5,32.06956
22.5,69.5,38.166027
22.5,70.5,38.35464
22.5,71.5,40.437065
22.5,72.5,40.715637
22.5,73.5,39.929108
22.5,74.5,40.110886
22.5,75.5,40.855278
22.5,76.5,41.244286
22.5,77.5,40.693233
22.5,78.5,40.04755
22.5,79.5,39.813007
22.5,80.5,39.771732
22.5,81.5,39.103672
22.5,82.5,37.929
22.5,83.5,37.41563
22.5,84.5,35.622246
22.5,85.5,34.29084
22.5,86.5,34.18517
22.5,87.5,32.50323
22.5,88.5,32.03009
22.5,92.5,30.173641
23.5,68.5,38.28479
23.5,69.5,38.906563
23.5,70.5,38.913963
23.5,71.5,40.207138
23.5,72.5,39.476963
23.5,73.5,39.49013
23.5,74.5,40.18267
