year,annual_mean_temp_C,extreme_heat_rate_pct,heatwave_events,heatwave_days,avg_heatwave_duration_days
2015,33.3180300081138,5.47945205479452,4.0,17.0,4.25
2016,33.36503253425809,7.923497267759563,4.0,14.0,3.5
2017,33.36753890105374,8.21917808219178,2.0,10.0,5.0
2018,33.29788198566913,7.9452054794520555,1.0,5.0,5.0
2019,32.97838626965227,9.58904109589041,4.0,23.0,5.75
2020,32.593042297604036,4.371584699453552,0.0,0.0,0.0
2021,32.51623123150685,0.0,2.0,9.0,4.5
2022,32.75555619936776,4.383561643835616,3.0,15.0,5.0
2023,32.75757754541623,0.273972602739726,1.0,13.0,13.0
2024,32.87911611990332,1.912568306010929,0.0,0.0,0.0
